[2022-01-25 20:37:29.767] <gnugo>    (in) : name
[2022-01-25 20:37:29.768] <gnugo>    (in) : version
[2022-01-25 20:37:29.769] <gnugo>    (in) : protocol_version
[2022-01-25 20:37:29.769] <gnugo>    (in) : list_commands
[2022-01-25 20:37:29.769] <gnugo>  (meta) : Engine Started
[2022-01-25 20:37:29.779] <gnugo>   (out) : = GNU Go
[2022-01-25 20:37:29.779] <gnugo>   (out) : 
[2022-01-25 20:37:29.779] <gnugo>   (out) : = 3.8
[2022-01-25 20:37:29.779] <gnugo>   (out) : 
[2022-01-25 20:37:29.779] <gnugo>   (out) : = 2
[2022-01-25 20:37:29.779] <gnugo>   (out) : 
[2022-01-25 20:37:29.780] <gnugo>   (out) : = aa_confirm_safety
[2022-01-25 20:37:29.780] <gnugo>   (out) : accurate_approxlib
[2022-01-25 20:37:29.780] <gnugo>   (out) : accuratelib
[2022-01-25 20:37:29.780] <gnugo>   (out) : advance_random_seed
[2022-01-25 20:37:29.780] <gnugo>   (out) : all_legal
[2022-01-25 20:37:29.780] <gnugo>   (out) : all_move_values
[2022-01-25 20:37:29.780] <gnugo>   (out) : analyze_eyegraph
[2022-01-25 20:37:29.780] <gnugo>   (out) : analyze_semeai
[2022-01-25 20:37:29.780] <gnugo>   (out) : analyze_semeai_after_move
[2022-01-25 20:37:29.780] <gnugo>   (out) : attack
[2022-01-25 20:37:29.780] <gnugo>   (out) : attack_either
[2022-01-25 20:37:29.780] <gnugo>   (out) : black
[2022-01-25 20:37:29.780] <gnugo>   (out) : block_off
[2022-01-25 20:37:29.780] <gnugo>   (out) : boardsize
[2022-01-25 20:37:29.780] <gnugo>   (out) : break_in
[2022-01-25 20:37:29.781] <gnugo>   (out) : captures
[2022-01-25 20:37:29.781] <gnugo>   (out) : clear_board
[2022-01-25 20:37:29.781] <gnugo>   (out) : clear_cache
[2022-01-25 20:37:29.781] <gnugo>   (out) : color
[2022-01-25 20:37:29.781] <gnugo>   (out) : combination_attack
[2022-01-25 20:37:29.781] <gnugo>   (out) : combination_defend
[2022-01-25 20:37:29.781] <gnugo>   (out) : connect
[2022-01-25 20:37:29.781] <gnugo>   (out) : countlib
[2022-01-25 20:37:29.781] <gnugo>   (out) : cputime
[2022-01-25 20:37:29.781] <gnugo>   (out) : decrease_depths
[2022-01-25 20:37:29.781] <gnugo>   (out) : defend
[2022-01-25 20:37:29.781] <gnugo>   (out) : defend_both
[2022-01-25 20:37:29.782] <gnugo>   (out) : disconnect
[2022-01-25 20:37:29.782] <gnugo>   (out) : does_attack
[2022-01-25 20:37:29.782] <gnugo>   (out) : does_defend
[2022-01-25 20:37:29.782] <gnugo>   (out) : does_surround
[2022-01-25 20:37:29.782] <gnugo>   (out) : dragon_data
[2022-01-25 20:37:29.782] <gnugo>   (out) : dragon_status
[2022-01-25 20:37:29.782] <gnugo>   (out) : dragon_stones
[2022-01-25 20:37:29.782] <gnugo>   (out) : draw_search_area
[2022-01-25 20:37:29.782] <gnugo>   (out) : dump_stack
[2022-01-25 20:37:29.782] <gnugo>   (out) : echo
[2022-01-25 20:37:29.782] <gnugo>   (out) : echo_err
[2022-01-25 20:37:29.782] <gnugo>   (out) : estimate_score
[2022-01-25 20:37:29.782] <gnugo>   (out) : eval_eye
[2022-01-25 20:37:29.782] <gnugo>   (out) : experimental_score
[2022-01-25 20:37:29.782] <gnugo>   (out) : eye_data
[2022-01-25 20:37:29.782] <gnugo>   (out) : final_score
[2022-01-25 20:37:29.782] <gnugo>   (out) : final_status
[2022-01-25 20:37:29.783] <gnugo>   (out) : final_status_list
[2022-01-25 20:37:29.783] <gnugo>   (out) : findlib
[2022-01-25 20:37:29.783] <gnugo>   (out) : finish_sgftrace
[2022-01-25 20:37:29.783] <gnugo>   (out) : fixed_handicap
[2022-01-25 20:37:29.783] <gnugo>   (out) : followup_influence
[2022-01-25 20:37:29.783] <gnugo>   (out) : genmove
[2022-01-25 20:37:29.783] <gnugo>   (out) : genmove_black
[2022-01-25 20:37:29.783] <gnugo>   (out) : genmove_white
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_connection_node_counter
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_handicap
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_komi
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_life_node_counter
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_owl_node_counter
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_random_seed
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_reading_node_counter
[2022-01-25 20:37:29.783] <gnugo>   (out) : get_trymove_counter
[2022-01-25 20:37:29.783] <gnugo>   (out) : gg-undo
[2022-01-25 20:37:29.783] <gnugo>   (out) : gg_genmove
[2022-01-25 20:37:29.784] <gnugo>   (out) : half_eye_data
[2022-01-25 20:37:29.784] <gnugo>   (out) : help
[2022-01-25 20:37:29.784] <gnugo>   (out) : increase_depths
[2022-01-25 20:37:29.784] <gnugo>   (out) : initial_influence
[2022-01-25 20:37:29.784] <gnugo>   (out) : invariant_hash_for_moves
[2022-01-25 20:37:29.784] <gnugo>   (out) : invariant_hash
[2022-01-25 20:37:29.784] <gnugo>   (out) : is_legal
[2022-01-25 20:37:29.784] <gnugo>   (out) : is_surrounded
